,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,acc3,acc6,acc12
GaussianProcessRegressor,1.167677062908423,0.6456981354028148,0.5919539832121845,0.6492122553694915,0.604836224039589,0.6040862302228573,0.6145822425359379,0.5982111509612443,0.6087535146687943,0.6952044707785604,0.7080988733335751,0.5677647413330903,0.8118216231869733,1.0120295883592674,0.6267661745641163
BaggingRegressor,0.8455942411563271,0.5559913850389774,0.5216335676744698,0.5451630729751892,0.5411141642860662,0.5471513744631705,0.6164447029956795,0.5597963563563166,0.5612952498537819,0.6135340341384206,0.7060312675349457,0.5325632482363772,0.5242381481043639,0.7897512543286089,3.72008284958094
rw,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ExtraTreesRegressor,0.7825387502916108,0.5467736987432341,0.49434904348184017,0.5487494904523106,0.5178165924049645,0.5258304781485922,0.5422656126978297,0.5447690790374982,0.5393745177730299,0.6257572634799506,0.629946819432708,0.5124231447158643,0.5337127300779821,0.866190347090914,4.47388268307613
BayesianRidge,0.7771611779486236,0.5819456839326683,0.5950517040148561,0.7053708595293963,0.7162500571656945,0.7476918220726385,0.7638785466921758,0.7503973816152217,0.76783426253422,0.9054751016773896,0.9098250769161405,0.7477136504469729,0.6514388720312956,1.928325729508491,11.776142593494292
NuSVR,1.4459037167750526,0.7906983246364407,0.7433132951452832,0.8860325551323212,0.7972036503005449,0.7785522019897336,0.7858908819343824,0.6882561292080135,0.7000519677804691,0.8151006796873852,0.907249114866403,0.7508600417431771,1.3675996550056384,6.441159300882431,40.66424091321204
SVR,1.429522881406308,0.7678823152135197,0.7160864980083795,0.8849040642433161,0.7723497987865657,0.7527571716916709,0.7791600380460872,0.6749409738155956,0.6865087190572301,0.8146921210165061,0.889774860942484,0.7231749129148667,1.2953677825231271,5.8812589530402395,36.836946423645664
AdaBoostRegressor,0.8956942535308043,0.5984685847090785,0.5715491991933312,0.5407613505456845,0.5229352443731015,0.5705541221680949,0.5764170555411005,0.5585704540119824,0.5683753429020212,0.605006438033874,0.6467079977489605,0.538476280019802,0.6482588817623596,1.0015215342272388,2.3376610676504384
LinearSVR,2.1867278695852197,0.9054022147610338,2.2421626592062758,1.3677742784177433,1.420418832277869,2.451078177777973,1.5488081826700457,1.2356392468372352,1.6619808779470835,1.3408315648580014,1.6193750243605642,1.8379419324308346,1.9535115784399557,6.139140980023577,95.64045637325061
SGDRegressor,1.0491928814776754e+29,2.203034638499771e+29,1.2152322622264073e+29,1.4747879131287737e+28,1.3522283762509852e+29,9.44730959478306e+28,2.2328477559399904e+28,1.0778207971767478e+28,1.8492445976343335e+29,8.013588403233389e+28,3.034472164149045e+28,1.0637299046065978e+29,3.372827921026332e+85,1.887381518822284e+169,inf
HuberRegressor,1.3703974623639446,0.8702403433919415,0.8757253813167892,1.0518213481980192,1.0826973446912433,1.0088703340987135,1.8281713004559006,0.8439055571505486,1.0459745755796563,2.2172656089319815,1.2857873487559388,1.0681419808248889,0.9775873437989356,2.1262887997063435,14.998105354346974
DecisionTreeRegressor,0.8872649955557063,0.7220740883969363,0.7222711769995952,0.7593388884451638,0.7515579308032515,0.7319260837369845,0.6415282837575701,1.361268796157399,0.8904592883194095,0.7287726783216386,0.9389550557453933,0.8559639039963766,0.6730210060632056,0.9441006112079068,4.139206211451037
ElasticNet,1.1555426933171005,0.6985065976898572,0.6384252844753195,0.7056575730259927,0.6506522388710932,0.6503552905955498,0.661718886396576,0.6432321509206882,0.6563233332727008,0.7425882670476512,0.7606638661088212,0.6114810136044101,0.9317487823055187,2.3136756373487346,4.732391836118441
PassiveAggressiveRegressor,1.4136964225456425,1.139865373823692,1.3501426933501266,1.9491555265106428,1.890991179056478,1.1628105940354772,2.3703821459055607,1.3604930342966564,1.1115080834825344,1.3245678156976952,1.976997522465941,1.7445376120265426,1.293364600962441,3.285830266356069,33.71491082642569
xgboost,0.813812717458678,0.6065730099764485,0.5045206293750674,0.5525153104765613,0.5383964090513662,0.5739458165216403,0.5836071983108934,0.7528828935456425,0.5847786600729671,0.5949207936690925,0.6736271128026731,0.5576904108540994,0.5642549135171866,0.832542210248628,4.176626114332543
MLPRegressor,60.26282410896485,42.54498317785771,39.90788173231828,25.746791940159948,28.23515048630627,40.87261541600681,28.76219655199174,20.258091231706377,37.16394839386045,36.17250658710777,33.065691567686436,19.904861662726972,9847.357921498922,741431.5307014398,3596464879.6350603
ExtraTreeRegressor,1.2720982991962162,0.7879468118629791,0.6984805389755812,0.6879387225190617,1.1474794635990808,0.7421585875544684,0.9335557067034884,0.6842064429489085,0.6310673615959752,0.8039444936765362,0.8653532441074927,0.9377776672335315,0.8223386640065223,1.4426572483619735,10.345679089848153
XGBRegressor,0.813812717458678,0.6065730099764485,0.5045206293750674,0.5525153104765613,0.5383964090513662,0.5739458165216403,0.5836071983108934,0.7528828935456425,0.5847786600729671,0.5949207936690925,0.6736271128026731,0.5576904108540994,0.5642549135171866,0.832542210248628,4.176626114332543
RandomForestRegressor,0.7994832307624996,0.5353175179541785,0.488955068079496,0.5284184930450764,0.5031753327038558,0.5185416015181242,0.5587727916647713,0.5714108349214643,0.5677274161315905,0.5982243190312373,0.626692394189728,0.5459950578712874,0.5271110927348603,0.7172933848727565,3.218131466130423
HistGradientBoostingRegressor,0.8383440329931772,0.5520921482067617,0.46454404937640265,0.5131274969310697,0.524160833124365,0.5836970071650122,0.5781739752223027,0.5964174982893972,0.5281213931453616,0.6409859644213944,0.6869772910465752,0.5492156659046673,0.5379312884612721,0.7144455269719433,4.074628327599372
GradientBoostingRegressor,0.8103205551933207,0.5911784594744113,0.5032398097739361,0.5608838854077449,0.5368143338195502,0.547411549584214,0.6140955723733987,0.5996045703160093,0.538173808772173,0.6273636416743791,0.7066113193879657,0.5511003661729097,0.5647007763692035,0.8484276471879784,5.23639184912542
lightgbm,0.8625327425092497,0.5748822766056394,0.46573460081673684,0.5301070182551402,0.5176247899578394,0.5583536800444732,0.5828830586140288,0.5662420659969062,0.558104968112517,0.6276290704324686,0.6672181975339704,0.5750185610374104,0.5678987039823219,0.8267386786998818,4.688145665797854
catboost,0.834637966605829,0.5479937650278479,0.4872400999190895,0.5436704709783687,0.5366906580617201,0.5211004385398753,0.540564435753928,0.5361937410850268,0.5281338105311265,0.5982981304220029,0.6345179963672176,0.5194424547708946,0.5294393364404438,0.8497918178927952,3.1895351023661807
